,train_acc_half_reg,test_acc_half_reg,NC1_reg,NC2_reg,NC3_reg,NC4_reg,test_acc_reg,train_time_reg,NC1,NC2,NC3,NC4,test_acc,train_time,NC1_SP,NC2_SP,NC3_SP,NC4_SP,test_acc_SP,train_time_SP,train_acc_half,test_acc_half,train_acc_half_SP,test_acc_half_SP
5,0.34063997864723206,0.33850870253164556,18.82380485534668,0.3426339328289032,0.9971136450767517,0.49052,0.6060126582278481,667.7930753231049,15.047930717468262,0.3292241394519806,0.9877051711082458,0.55492,0.610067246835443,1114.9019453525543,15.436230659484863,0.32898497581481934,0.9894489645957947,0.5526,0.6615901898734177,861.0425128936768,0.3940529336734694,0.36214398734177217,0.09937818880592074,0.09889240506329114
10,0.4310399889945984,0.40882120253164556,15.235649108886719,0.3333352506160736,0.9684300422668457,0.55332,0.6101661392405063,646.4682731628418,10.195100784301758,0.33604559302330017,0.9661940336227417,0.59276,0.5997824367088608,1075.7025306224823,10.536115646362305,0.3364660143852234,0.9664027094841003,0.5986,0.6631724683544303,819.0955600738525,0.48900669661103463,0.4341376582278481,0.09915497450500119,0.10096914556962025
15,0.49052000045776367,0.4530261075949367,14.835039138793945,0.32841774821281433,0.9518501162528992,0.58308,0.6043314873417721,625.2573342323303,7.210179328918457,0.3360786736011505,0.9295036792755127,0.65676,0.6009691455696202,997.4785685539246,7.30068826675415,0.33561649918556213,0.9296736121177673,0.66248,0.6620846518987342,760.4694581031799,0.5563934948675486,0.4795292721518987,0.0994180484997983,0.10096914556962025
20,0.5356799960136414,0.48091376582278483,18.559629440307617,0.32233479619026184,0.9297652840614319,0.59208,0.6018591772151899,602.0963842868805,5.168504238128662,0.3301933705806732,0.8915120363235474,0.70248,0.5928599683544303,958.4756026268005,5.310150146484375,0.32979390025138855,0.8928079009056091,0.70532,0.6581289556962026,721.6018466949463,0.6110969389579735,0.503065664556962,0.09906728316706662,0.10096914556962025
25,0.5731599926948547,0.5065268987341772,20.728422164916992,0.3150763213634491,0.9106072187423706,0.61824,0.6028481012658228,591.7576160430908,3.7937381267547607,0.3207525610923767,0.8582778573036194,0.73808,0.59375,880.3881928920746,3.8724076747894287,0.3211747109889984,0.8582852482795715,0.7364,0.646756329113924,682.311331987381,0.6632812500608211,0.5204707278481012,0.09968112249459539,0.10096914556962025
30,0.606719970703125,0.5175039556962026,29.412738800048828,0.30758485198020935,0.8872767090797424,0.58176,0.6029469936708861,570.0569965839386,2.9374349117279053,0.3091989755630493,0.8273298144340515,0.75928,0.5888053797468354,821.6603305339813,3.0477547645568848,0.3090576231479645,0.8284136652946472,0.75928,0.6402294303797469,623.7664897441864,0.717028061346132,0.5357001582278481,0.09915497450500119,0.10096914556962025
35,0.636959969997406,0.535996835443038,37.947998046875,0.3004884123802185,0.8676015138626099,0.5668,0.6023536392405063,548.348610162735,2.3432884216308594,0.29637202620506287,0.7939157485961914,0.7796,0.5919699367088608,762.8409109115601,2.3690056800842285,0.29619288444519043,0.7966306805610657,0.78264,0.6368670886075949,584.7246327400208,0.765872130284504,0.5446004746835443,0.09924266582392917,0.10096914556962025
40,0.6686800122261047,0.5467761075949367,57.58529281616211,0.2947862446308136,0.8527938723564148,0.53132,0.6024525316455697,524.0693547725677,1.8357397317886353,0.28315749764442444,0.760107696056366,0.81208,0.5872231012658228,704.0439963340759,1.898074746131897,0.2830195128917694,0.7612401247024536,0.80844,0.6230221518987342,526.2239038944244,0.8271683673469388,0.5449960443037974,0.09897959183863535,0.10096914556962025
45,0.689079999923706,0.5524129746835443,75.3622055053711,0.2915380001068115,0.8475791215896606,0.59652,0.5974090189873418,502.3645975589752,1.5084670782089233,0.27065882086753845,0.7303725481033325,0.83616,0.5855419303797469,665.3725953102112,1.5335959196090698,0.2708069980144501,0.7334341406822205,0.83476,0.619560917721519,487.31009888648987,0.8816884567542952,0.5480617088607594,0.09924266582392917,0.10096914556962025
50,0.6911199688911438,0.5599287974683544,180.9849395751953,0.29128336906433105,0.8571612238883972,0.50716,0.5973101265822784,502.27569103240967,1.3902047872543335,0.2592260539531708,0.7081558704376221,0.85392,0.5851463607594937,606.4165351390839,1.4175971746444702,0.2596418559551239,0.7096144556999207,0.84668,0.6183742088607594,467.66185450553894,0.8832908163265306,0.5449960443037974,0.09933035714285714,0.10096914556962025
