,train_acc_half_reg,NC1_reg,NC2_reg,NC3_reg,NC4_reg,test_acc_reg,train_time_reg,test_acc_half_reg,NC1,NC2,NC3,NC4,test_acc,train_time,NC1_SP,NC2_SP,NC3_SP,NC4_SP,test_acc_SP,train_time_SP,train_acc_half,test_acc_half,train_acc_half_SP,test_acc_half_SP
5,0.35211998224258423,18.026721954345703,0.348187655210495,0.9694812893867493,0.47664,0.6065071202531646,643.5037777423859,0.3494857594936709,15.429203987121582,0.37371334433555603,0.9818062782287598,0.54756,0.607693829113924,607.2459115982056,15.265457153320312,0.37433314323425293,0.9828238487243652,0.55548,0.6729628164556962,514.0706641674042,0.3685267858055173,0.33979430379746833,0.09960140306882713,0.09958465189873418
10,0.4413599967956543,14.900420188903809,0.34993332624435425,0.9659319519996643,0.53836,0.6138251582278481,607.5409352779388,0.41455696202531644,10.460551261901855,0.3755825459957123,0.9663333296775818,0.62512,0.6073971518987342,566.7652635574341,10.618715286254883,0.37550684809684753,0.9670042395591736,0.62412,0.6706882911392406,462.50942754745483,0.4653539540512221,0.4173259493670886,0.10003985973949335,0.09958465189873418
15,0.5015199780464172,13.49417781829834,0.3473339080810547,0.9463145136833191,0.55056,0.6104628164556962,575.9904413223267,0.45777294303797467,7.417084693908691,0.37042924761772156,0.9405267834663391,0.66608,0.596815664556962,534.9828355312347,7.5895843505859375,0.36971670389175415,0.9419814348220825,0.66676,0.6655458860759493,446.91848516464233,0.5334821428571429,0.45589398734177217,0.09946588010584213,0.09958465189873418
20,0.5511999726295471,13.312431335449219,0.3412483334541321,0.9197510480880737,0.54736,0.6120450949367089,566.8358659744263,0.4819026898734177,5.435143947601318,0.3605327606201172,0.913593053817749,0.69532,0.5951344936708861,505.53305888175964,5.5426554679870605,0.36094099283218384,0.9149951338768005,0.695,0.6614912974683544,651.1543428897858,0.5921954719387755,0.4889240506329114,0.10043845664025569,0.10096914556962025
25,0.591439962387085,13.44572639465332,0.33344709873199463,0.8964583277702332,0.55736,0.6077927215189873,533.9664568901062,0.5056368670886076,4.094497203826904,0.3479003310203552,0.8821951746940613,0.72988,0.5972112341772152,463.95697259902954,4.157813549041748,0.3487274646759033,0.883137583732605,0.7254,0.6534810126582279,426.69096875190735,0.6457828444485761,0.5106803797468354,0.10026307398339315,0.10096914556962025
30,0.6330400109291077,14.353360176086426,0.32415062189102173,0.8721778988838196,0.56492,0.6021558544303798,514.1687135696411,0.5158227848101266,3.1338202953338623,0.33287525177001953,0.8511280417442322,0.75844,0.5909810126582279,433.1411142349243,3.194122076034546,0.33297720551490784,0.8525124788284302,0.75836,0.6494264240506329,381.7769114971161,0.7005978953473422,0.5231408227848101,0.10043845664025569,0.10096914556962025
35,0.6667599678039551,16.274616241455078,0.3142617642879486,0.8498151898384094,0.56432,0.6016613924050633,479.66114377975464,0.5322389240506329,2.46577787399292,0.31648069620132446,0.8181172609329224,0.785,0.5880142405063291,410.60281705856323,2.522019624710083,0.3160422742366791,0.8192569017410278,0.78052,0.6396360759493671,355.86017966270447,0.7500797193877551,0.5315466772151899,0.10035076532132771,0.10096914556962025
40,0.7066400051116943,16.66141128540039,0.3040553033351898,0.8271987438201904,0.57456,0.6035403481012658,462.1674520969391,0.5403481012658228,1.919607162475586,0.29997488856315613,0.781187117099762,0.80876,0.588310917721519,369.05415415763855,1.9882205724716187,0.29927265644073486,0.7816113829612732,0.80768,0.6254944620253164,321.05511951446533,0.8180245535106075,0.5425237341772152,0.10052614795918367,0.10096914556962025
45,0.7463200092315674,18.3988094329834,0.29401037096977234,0.8072419762611389,0.57368,0.5981012658227848,442.59856700897217,0.5514240506329114,1.5890997648239136,0.2836235761642456,0.7473558783531189,0.83612,0.5806962025316456,337.5181155204773,1.6047687530517578,0.28374770283699036,0.7501037120819092,0.83604,0.6262856012658228,296.8792643547058,0.8675143496722592,0.5462816455696202,0.10026307398339315,0.10096914556962025
50,0.7832799553871155,20.38844871520996,0.2841832935810089,0.7875006198883057,0.5834,0.5980023734177216,422.9087538719177,0.5551819620253164,1.2940338850021362,0.2692851722240448,0.7151374816894531,0.86396,0.5782238924050633,316.50185203552246,1.333164095878601,0.2689061462879181,0.7188084125518799,0.85752,0.6171875,273.29498314857483,0.9210060588559326,0.5504351265822784,0.10017538265496188,0.10096914556962025
55,0.8210399746894836,21.417089462280273,0.2752241790294647,0.7695418000221252,0.60368,0.598496835443038,394.224413394928,0.5606210443037974,1.155401587486267,0.25673338770866394,0.6878575682640076,0.88328,0.5836629746835443,296.008846282959,1.1779299974441528,0.2567852735519409,0.691693127155304,0.88012,0.6042325949367089,260.34995222091675,0.9382413902453014,0.5537974683544303,0.10061383931612482,0.10096914556962025
60,0.8565599918365479,24.027414321899414,0.26734888553619385,0.747337281703949,0.6278,0.5963212025316456,352.3835017681122,0.5580498417721519,0.9914491772651672,0.24670301377773285,0.6517672538757324,0.9174,0.5790150316455697,294.751788854599,1.020811915397644,0.246747687458992,0.6541748046875,0.91068,0.6059137658227848,236.6006462574005,0.9762755103257238,0.5473694620253164,0.10017538265496188,0.10096914556962025
65,0.8907600045204163,26.364013671875,0.26113954186439514,0.7306461334228516,0.65056,0.5983979430379747,341.97503328323364,0.5627966772151899,0.8589887619018555,0.239080548286438,0.6255453824996948,0.94356,0.5792128164556962,278.29460310935974,0.8816356658935547,0.23925384879112244,0.6284573674201965,0.94124,0.6092761075949367,225.50019693374634,0.9926259566326531,0.5487539556962026,0.10052614795918367,0.10096914556962025
70,0.9159599542617798,30.030887603759766,0.25628405809402466,0.7153393030166626,0.67104,0.6013647151898734,330.179550409317,0.557753164556962,0.7839229702949524,0.2335500866174698,0.6080909371376038,0.9604,0.5796083860759493,264.5531220436096,0.8104301691055298,0.2336522936820984,0.6121525168418884,0.95764,0.6091772151898734,224.4974546432495,0.9974888392857143,0.5487539556962026,0.10035076532132771,0.10096914556962025
75,0.9383999705314636,38.399227142333984,0.25313669443130493,0.6982723474502563,0.70808,0.5928599683544303,320.54124903678894,0.5509295886075949,0.780669093132019,0.22938314080238342,0.591367244720459,0.96084,0.5767405063291139,247.83072519302368,0.7973377108573914,0.22946208715438843,0.5939029455184937,0.95972,0.6041337025316456,213.00502967834473,0.994140625,0.5463805379746836,0.10035076532132771,0.10096914556962025
80,0.9551999568939209,51.005462646484375,0.2517043650150299,0.698030412197113,0.7148,0.592068829113924,302.02291917800903,0.5551819620253164,0.6884860992431641,0.22622117400169373,0.568966805934906,0.98144,0.5717958860759493,231.11041164398193,0.7242769598960876,0.22622878849506378,0.5732684135437012,0.97572,0.6016613924050633,213.01762080192566,0.9998405612244898,0.5479628164556962,0.10043845664025569,0.10096914556962025
85,0.966439962387085,69.2108154296875,0.25201544165611267,0.6911798119544983,0.72784,0.5923655063291139,290.20227813720703,0.5545886075949367,0.655949056148529,0.2236824929714203,0.5611464977264404,0.98964,0.5794106012658228,220.5422556400299,0.6825862526893616,0.22368218004703522,0.5643211603164673,0.98392,0.6045292721518988,201.29966711997986,0.9999202806122449,0.5478639240506329,0.10008769132653061,0.10096914556962025
90,0.9684000015258789,101.76838684082031,0.2539190649986267,0.6890276074409485,0.73928,0.5888053797468354,290.7170112133026,0.5520174050632911,0.6289313435554504,0.22160036861896515,0.5511006116867065,0.99044,0.5778283227848101,220.31440234184265,0.661081850528717,0.2211761176586151,0.5551208257675171,0.98624,0.6033425632911392,201.45731115341187,1.0,0.5497428797468354,0.10043845664025569,0.10096914556962025
95,0.9601199626922607,197.58587646484375,0.25808393955230713,0.7060208320617676,0.7178,0.5895965189873418,280.1714541912079,0.551621835443038,0.6086440086364746,0.21988344192504883,0.544349193572998,0.99284,0.577432753164557,210.03136563301086,0.6332718729972839,0.21946606040000916,0.5471436977386475,0.99036,0.602254746835443,201.68790674209595,1.0,0.5513251582278481,0.10017538265496188,0.10096914556962025
100,0.8930400013923645,508.5762634277344,0.26348263025283813,0.7596365809440613,0.65148,0.5894976265822784,290.5929100513458,0.5469738924050633,0.5904847383499146,0.21842342615127563,0.5358611345291138,0.99404,0.5779272151898734,199.93110370635986,0.6231407523155212,0.21801212430000305,0.5403560400009155,0.99144,0.6004746835443038,202.3263144493103,1.0,0.5502373417721519,0.10043845664025569,0.10096914556962025
105,0.23783999681472778,9.189239501953125,0.27185994386672974,1.1078288555145264,0.10244,0.6252966772151899,538.2134721279144,0.21172863924050633,0.5832352638244629,0.21714827418327332,0.5308748483657837,0.99536,0.5760482594936709,200.00429511070251,0.6081010699272156,0.21674223244190216,0.5341334939002991,0.99372,0.6041337025316456,190.13600134849548,1.0,0.5464794303797469,0.10043845664025569,0.10096914556962025
110,0.11763999611139297,233.4201202392578,0.28321874141693115,1.2164720296859741,0.02788,0.6015625,1077.7021720409393,0.11698971518987342,0.5643852949142456,0.21602419018745422,0.5240072011947632,0.99656,0.5736748417721519,199.82583141326904,0.585618257522583,0.21614891290664673,0.5279579162597656,0.99504,0.603243670886076,189.3543336391449,1.0,0.5449960443037974,0.10026307398339315,0.10096914556962025
115,0.11407999694347382,1230.2802734375,0.28302496671676636,1.274093508720398,0.01476,0.607693829113924,1032.5750787258148,0.10897943037974683,0.565578043460846,0.2150915414094925,0.5210086107254028,0.99728,0.5749604430379747,200.61484026908875,0.589400589466095,0.2152143269777298,0.5250409245491028,0.99472,0.603243670886076,190.17176294326782,1.0,0.5497428797468354,0.10070153059703964,0.10096914556962025
